time="2023-06-28T00:16:54+03:00" level=info msg="Start main application" func="main.main()" file="Kanopy.go; 15"
time="2023-06-28T00:17:00+03:00" level=info msg="End without problem8080" func="main.main()" file="Kanopy.go; 18"
time="2023-06-28T00:17:16+03:00" level=info msg="Start ConfigApp" func="Kanopy/pkg/Config.GetConfigApp.func1()" file="Config.go; 35"
time="2023-06-28T00:17:16+03:00" level=info msg="Start main application" func="main.main()" file="Kanopy.go; 15"
time="2023-06-28T00:17:24+03:00" level=info msg="End without problem8080" func="main.main()" file="Kanopy.go; 18"
time="2023-06-28T00:17:51+03:00" level=info msg="Start ConfigApp" func="Kanopy/pkg/Config.GetConfigApp.func1()" file="Config.go; 35"
time="2023-06-28T00:17:51+03:00" level=info msg="Start main application" func="main.main()" file="Kanopy.go; 15"
time="2023-06-28T00:17:58+03:00" level=info msg="End without problem8080" func="main.main()" file="Kanopy.go; 18"
time="2023-06-28T00:18:12+03:00" level=info msg="Start ConfigApp" func="Kanopy/pkg/Config.GetConfigApp.func1()" file="Config.go; 35"
time="2023-06-28T00:18:12+03:00" level=info msg="Start main application" func="main.main()" file="Kanopy.go; 15"
time="2023-06-28T00:18:16+03:00" level=info msg="End without problem8080" func="main.main()" file="Kanopy.go; 18"
time="2023-06-28T00:18:34+03:00" level=info msg="Start ConfigApp" func="Kanopy/pkg/Config.GetConfigApp.func1()" file="Config.go; 35"
time="2023-06-28T00:18:34+03:00" level=info msg="Start main application" func="main.main()" file="Kanopy.go; 15"
time="2023-06-28T00:18:38+03:00" level=info msg="End without problem8080" func="main.main()" file="Kanopy.go; 18"
time="2023-06-28T00:19:07+03:00" level=info msg="Start ConfigApp" func="Kanopy/pkg/Config.GetConfigApp.func1()" file="Config.go; 35"
time="2023-06-28T00:19:07+03:00" level=info msg="Start main application" func="main.main()" file="Kanopy.go; 15"
time="2023-06-28T00:19:12+03:00" level=info msg="End without problem8080" func="main.main()" file="Kanopy.go; 18"
time="2023-06-28T00:19:33+03:00" level=info msg="Start ConfigApp" func="Kanopy/pkg/Config.GetConfigApp.func1()" file="Config.go; 35"
time="2023-06-28T00:19:33+03:00" level=info msg="Start main application" func="main.main()" file="Kanopy.go; 15"
time="2023-06-28T00:19:40+03:00" level=info msg="End without problem8080" func="main.main()" file="Kanopy.go; 18"
time="2023-06-28T00:24:31+03:00" level=info msg="Start ConfigApp" func="Kanopy/pkg/Config.GetConfigApp.func1()" file="Config.go; 35"
time="2023-06-28T00:24:31+03:00" level=info msg="Start main application" func="main.main()" file="Kanopy.go; 15"
time="2023-06-28T00:24:35+03:00" level=info msg="End without problem8080" func="main.main()" file="Kanopy.go; 18"
